symbol,pval,FC_type2vstype1
C11orf59,6.42E-06,1.269240112
C14orf139,0.008703314,1.502453971
C1orf168,0.002865047,2.251021217
CD82,0.000948452,1.531466657
CES4,0.008573174,1.520298135
CHI3L1,0.000518555,2.725675869
CHST2,1.33E-08,2.478224797
CTXN3,0.001488257,3.204664234
DUSP1,0.008679206,1.53857697
ELL2,0.005866603,1.288564333
ELMO1,0.001246516,1.423215207
FABP4,0.000418035,2.68286284
FAM49A,0.002544333,1.698015314
FCN3,2.29E-08,3.573483139
FDX1,0.00096459,1.287404343
GIMAP1,0.00557091,1.386980422
GIMAP4,0.00089024,1.470889887
GIMAP5,0.00244247,1.499659359
GIMAP7,0.002739848,1.452143112
GIMAP8,6.14E-05,1.704151336
GRRP1,0.000189475,1.746031772
HDHD2,0.001532897,1.22296095
IER3IP1,0.000216829,1.212609298
KCNJ10,0.006782296,2.563454097
KCNJ1,0.002166003,4.153110585
LDLRAP1,0.006940015,1.276558978
MAN2B2,1.06E-06,1.403693839
MT1G,0.000283271,4.099547761
MT1H,0.001730368,3.254931718
MT1X,0.000468092,2.078307712
NAT1,0.001234327,1.266926305
OAZ2,0.000495316,1.155178684
OPA3,0.006262934,1.11765896
P2RY8,0.005554777,1.484538506
PLCXD3,5.46E-05,3.154701886
PPM1F,0.007622994,1.190342831
PPP1R16B,0.006622198,1.718815171
PPP3CC,0.000735756,1.193406047
PRKCD,0.00526813,1.196399571
PROM2,0.003663385,3.030171884
RAMP3,7.00E-06,2.091719201
RASD1,6.23E-06,4.901899074
REXO2,1.85E-08,1.491217323
RFTN1,8.75E-06,1.916552722
RNASE1,0.000608484,1.733842083
RNF185,0.002315192,1.151529422
SAA2,0.000651481,3.321249425
SCNN1B,0.000354981,4.403784366
SCUBE1,0.000923617,2.111307613
SIDT2,0.005033962,1.143237192
SREBF2,0.000518518,1.288099273
TMEM110,4.57E-05,1.327082734
TMEM126A,0.002539157,1.192472054
TPRG1L,0.005046871,1.222099728
VPS26B,2.28E-06,1.160459303
WDFY2,0.000910647,1.365426567
XBP1,8.02E-06,1.432121579
DYNC2LI1,8.07E-22,0.395285935
FLJ32063,1.43E-20,0.152595029
PLEKHH2,1.74E-20,0.175928587
FHL1,7.01E-20,0.124916692
SOSTDC1,8.80E-20,0.042525074
SATB2,2.09E-18,0.306527018
SUN1,8.56E-18,0.517582561
UPK1B,1.19E-17,0.064299314
CRLS1,1.19E-17,0.477098398
SLC34A2,1.87E-17,0.055424089
ZNF862,1.95E-17,0.422145397
WNT5A,1.96E-17,0.256311733
C9orf171,2.16E-17,0.170766938
CXCL6,2.26E-17,0.063196939
LNP1,2.71E-17,0.251144074
GRM5,3.02E-17,0.095244266
C7orf63,4.55E-17,0.367032846
VSTM2L,5.03E-17,0.060750903
IQCE,7.35E-17,0.569906565
VGLL4,7.51E-17,0.533781556
SLC9A10,7.94E-17,0.275885816
PRICKLE1,9.20E-17,0.338078149
DKFZP586I1420,1.01E-16,0.524078646
EPN2,1.69E-16,0.623573209
ZDHHC8P1,1.76E-16,0.117153133
C1orf186,2.70E-16,0.173306779
ATHL1,2.98E-16,0.124354942
PLEKHG6,3.36E-16,0.176000609
GPR125,4.69E-16,0.485311244
C7orf42,5.00E-16,0.683861361
RELN,7.82E-16,0.094256371
ABHD11,8.12E-16,0.385699389
RAB36,8.14E-16,0.542261983
C17orf97,8.17E-16,0.454083542
C9orf117,8.51E-16,0.298543178
LRRC50,8.92E-16,0.29193609
TSNAXIP1,9.80E-16,0.322515582
ZMYND10,1.05E-15,0.173913806
GK5,1.33E-15,0.508502883
HGFAC,1.86E-15,0.120344338
PLXNB1,2.88E-15,0.537043328
CHRNB1,3.00E-15,0.434933667
EFHC1,3.47E-15,0.503463556
TES,4.15E-15,0.475493079
C1orf133,4.16E-15,0.351990249
C17orf72,4.27E-15,0.327546557
AGPAT4,4.46E-15,0.507558071
CCL28,4.95E-15,0.193873082
KIAA1407,5.04E-15,0.488421843
CCDC57,5.23E-15,0.396171289
CYP27C1,5.32E-15,0.142614457
DLEC1,6.57E-15,0.206058185
SPAG6,7.59E-15,0.068300212
RABGEF1,7.60E-15,0.722072446
C19orf51,7.85E-15,0.362230329
KIAA0495,7.92E-15,0.640958516
ITGB8,8.00E-15,0.309645798
IFNE,8.21E-15,0.234993381
WDR91,8.82E-15,0.520226273
TNFSF13,9.89E-15,0.41297996
TLE4,1.04E-14,0.568943039
SLC22A20,1.10E-14,0.326007349
SCEL,1.20E-14,0.053485581
TTC21A,1.28E-14,0.426797946
CCDC135,1.30E-14,0.228625818
LRRFIP2,1.32E-14,0.550696928
ZNF167,1.34E-14,0.409369381
KCNT2,1.51E-14,0.121568944
CCDC65,1.80E-14,0.313628875
RIMS2,1.84E-14,0.152807333
IRX3,2.27E-14,0.212805477
FOXC1,2.44E-14,0.386816194
INCA1,2.58E-14,0.485448891
KIAA0753,2.59E-14,0.571895103
PAN2,2.63E-14,0.553198534
PLEKHH1,3.21E-14,0.451799963
SLC44A4,3.83E-14,0.134928967
LOC91316,4.73E-14,0.287061454
GTF2IP1,4.86E-14,0.628386709
ZMIZ2,4.93E-14,0.566121426
LOC554202,5.70E-14,0.205004506
MUC12,6.88E-14,0.103769871
AHR,7.01E-14,0.378154301
AGBL2,8.39E-14,0.319229317
FANK1,8.91E-14,0.487657031
WDR60,9.05E-14,0.576361985
ODC1,9.14E-14,0.504479677
SPEF1,9.73E-14,0.398555409
?,1.08E-13,0.367053272
VPS37D,1.14E-13,0.496661394
UBN2,1.27E-13,0.551173819
GIGYF1,1.70E-13,0.535710719
TXNDC6,1.87E-13,0.337904643
TMEM107,1.99E-13,0.635477797
IRX5,2.17E-13,0.193283907
KAZ,2.21E-13,0.54637258
SCARA3,2.39E-13,0.219763043
TTLL9,2.42E-13,0.377297482
WDR16,2.78E-13,0.371412542
USP43,2.79E-13,0.523698788
MAPK15,2.82E-13,0.176035409
TNNI3,2.95E-13,0.111253788
LRRN4,3.09E-13,0.245269651
RAP1GAP2,3.31E-13,0.422128723
C10orf79,3.36E-13,0.383503774
C5orf28,3.36E-13,0.537258653
YPEL1,3.92E-13,0.617503254
KCNH8,4.10E-13,0.202304472
ABI3BP,4.65E-13,0.21643258
AKAP5,4.78E-13,0.372535896
SAMD13,5.43E-13,0.451679517
BCL2,5.47E-13,0.555948871
HOXA3,6.47E-13,0.368245773
IGSF5,6.72E-13,0.36098964
DNAH7,7.41E-13,0.464826747
C10orf107,7.96E-13,0.180895135
CACNB3,8.12E-13,0.42558257
COBL,8.56E-13,0.39708487
SPAG8,8.89E-13,0.436784598
LOC284440,9.39E-13,0.590844594
LRP2BP,1.01E-12,0.560240966
PILRB,1.13E-12,0.306546497
CASP2,1.14E-12,0.625570423
IQCD,1.15E-12,0.543533086
LOC100101266,1.18E-12,0.423980529
EZR,1.19E-12,0.58040084
RABL2B,1.24E-12,0.683263342
MGC45800,1.28E-12,0.214784132
CHST9,1.32E-12,0.244709357
TTC18,1.32E-12,0.377624288
LFNG,1.38E-12,0.316256747
LRRC48,1.41E-12,0.427477732
TMPRSS6,1.52E-12,0.225561827
EREG,1.53E-12,0.115914868
RAGE,1.56E-12,0.543131319
LRRC56,1.61E-12,0.377469889
GRHL1,1.63E-12,0.422356597
MEX3A,1.64E-12,0.446843113
PF4V1,1.68E-12,0.176889735
MORN5,1.83E-12,0.294475172
ZNF334,1.85E-12,0.331518424
PITPNA,2.41E-12,0.686699147
CCDC40,2.66E-12,0.487440855
RS1,2.66E-12,0.403172601
EFCAB1,2.67E-12,0.189977577
BMS1P5,2.76E-12,0.414808328
TTC25,2.93E-12,0.485013546
MAD1L1,3.01E-12,0.554266168
NLGN2,3.03E-12,0.466196431
LOC678655,3.15E-12,0.58312968
TPK1,3.19E-12,0.305852343
ZNF212,3.26E-12,0.684569177
CCDC13,3.83E-12,0.404383319
MTERFD3,3.89E-12,0.514223609
LYG1,3.95E-12,0.170722421
MAMDC4,4.05E-12,0.364534984
C3orf15,4.05E-12,0.454481757
GPRIN2,4.14E-12,0.176872644
DACT2,4.49E-12,0.165379235
ABCG5,4.55E-12,0.319954771
IFT27,4.60E-12,0.579840167
LRCH4,4.76E-12,0.649069324
GLRB,5.43E-12,0.327919925
DTX3,5.75E-12,0.453408039
CASC1,5.76E-12,0.492803301
UBXN11,5.86E-12,0.486717618
GPC2,5.88E-12,0.332295007
ANK1,5.94E-12,0.204946953
SMAGP,5.98E-12,0.502809416
TNFAIP6,6.10E-12,0.119440887
IL20RA,6.14E-12,0.177909735
POLR2J4,6.20E-12,0.600938527
KCTD11,6.41E-12,0.630465664
RGS12,6.49E-12,0.527732372
NPHP1,6.76E-12,0.633960597
FAM109B,7.05E-12,0.451692359
FLJ13197,7.30E-12,0.332663188
NOL4,7.52E-12,0.120171509
TNFSF10,7.54E-12,0.402875599
WDR52,7.70E-12,0.378388303
MID1IP1,7.76E-12,0.523862076
SSH2,7.76E-12,0.552937426
ZNF443,8.13E-12,0.635446652
MIS12,8.62E-12,0.613522699
C7orf57,9.06E-12,0.334877128
CCND2,9.40E-12,0.341239855
ASRGL1,9.47E-12,0.2992623
TMEM139,9.89E-12,0.561143913
CTF1,1.01E-11,0.320260377
VSTM2A,1.03E-11,0.063140231
DPCR1,1.11E-11,0.331262194
CRIP1,1.21E-11,0.259050391
RAC1,1.21E-11,0.683331673
ARHGAP27,1.24E-11,0.560509564
NCRNA00174,1.26E-11,0.422068094
CNTROB,1.36E-11,0.662985454
RUNDC3B,1.37E-11,0.38503569
RBP4,1.41E-11,0.061417788
MICAL3,1.43E-11,0.646473462
LMTK3,1.45E-11,0.29953945
FLRT3,1.46E-11,0.328231246
HNF1B,1.53E-11,0.587211214
LHFPL3,1.65E-11,0.276478
DNAI1,1.75E-11,0.33874522
COX19,1.79E-11,0.591289491
LRRK2,1.85E-11,0.373405238
FLJ45244,1.86E-11,0.385894902
RSPH4A,1.89E-11,0.420009791
PPT2,1.97E-11,0.671348132
LOC493754,2.00E-11,0.676603051
ACSM1,2.24E-11,0.280547359
MUM1,2.27E-11,0.614649277
CCDC39,2.29E-11,0.378835161
DNAL1,2.33E-11,0.667020818
LOC646851,2.38E-11,0.417535493
TTLL3,2.52E-11,0.395106636
SBK1,2.64E-11,0.332681941
DENND3,2.66E-11,0.649923315
RBM5,2.69E-11,0.624715181
FARP1,2.73E-11,0.619814289
ZNF300,2.80E-11,0.445642119
CNKSR3,2.90E-11,0.586270994
ZFP90,3.01E-11,0.682634086
FHDC1,3.18E-11,0.386112114
IFT122,3.19E-11,0.639418119
GTF2IRD2,3.30E-11,0.62559325
BRD1,3.32E-11,0.699830216
MST1R,3.36E-11,0.237927303
C21orf88,3.39E-11,0.277041953
LRRIQ1,3.39E-11,0.39020259
CLDN3,3.49E-11,0.201504642
ADAMTS13,3.56E-11,0.430507362
RFX2,3.59E-11,0.487789138
C6orf132,3.77E-11,0.340151069
ARMC3,3.94E-11,0.275385804
TAF6,3.94E-11,0.675973202
DPY19L2P2,4.06E-11,0.457318611
CDS1,4.17E-11,0.616566387
PKP3,4.17E-11,0.17750477
GALNT11,4.19E-11,0.447794165
MDH1B,4.37E-11,0.456667178
KIF9,4.41E-11,0.595705667
SCHIP1,4.68E-11,0.386572763
AP4M1,4.93E-11,0.656770566
MICALL2,5.10E-11,0.450810508
DMTF1,5.24E-11,0.48511533
MYO15B,5.56E-11,0.397886427
C9orf68,5.62E-11,0.422610112
C17orf100,5.70E-11,0.544023179
AGAP11,5.87E-11,0.262176993
LOC642826,5.91E-11,0.460300765
EDAR,5.94E-11,0.206774603
C20orf195,6.03E-11,0.288769972
DAGLB,6.14E-11,0.590916673
C2orf39,6.39E-11,0.229175519
FBRSL1,6.71E-11,0.651887649
DPH1,6.80E-11,0.677120508
PHYHIP,6.81E-11,0.297525059
PKHD1,6.96E-11,0.421123022
CYSLTR2,7.17E-11,0.134290137
STAG3L3,7.66E-11,0.480045542
LAYN,8.28E-11,0.449332784
KIAA0895L,8.34E-11,0.443005461
CARD14,8.35E-11,0.33068562
NRF1,8.57E-11,0.709199734
GNAI1,8.60E-11,0.471329228
C1orf126,8.62E-11,0.467485038
PROCA1,8.63E-11,0.405446829
TSG1,8.77E-11,0.347819362
CREB5,8.83E-11,0.367323321
ZNF789,8.97E-11,0.414294379
ARGLU1,9.06E-11,0.486395047
C2orf62,9.23E-11,0.368193877
C6,9.28E-11,0.111924802
AK7,9.28E-11,0.42093888
LOC389791,9.37E-11,0.393889801
ELFN2,9.45E-11,0.269732544
PPP1R9A,9.91E-11,0.612805333
C19orf46,1.02E-10,0.170829459
POLM,1.04E-10,0.623248823
PAX8,1.07E-10,0.63837089
LOC100128164,1.09E-10,0.428127762
TEKT2,1.12E-10,0.315002424
AMIGO3,1.15E-10,0.557097423
FAM200A,1.15E-10,0.694091677
LRGUK,1.19E-10,0.448557098
HYDIN,1.22E-10,0.466370631
C4orf47,1.25E-10,0.378732959
CXCL5,1.27E-10,0.11068251
PCLO,1.29E-10,0.522431949
PPIEL,1.29E-10,0.339853485
STK36,1.38E-10,0.643577314
URGCP,1.42E-10,0.689566673
LOC728392,1.46E-10,0.330469626
C9orf50,1.47E-10,0.294025508
NFKBIZ,1.49E-10,0.338469501
AP1S3,1.50E-10,0.521291572
GTF2IRD2P1,1.50E-10,0.627845406
KIAA0649,1.55E-10,0.703912414
CXCL1,1.59E-10,0.209608458
PLEKHN1,1.61E-10,0.248027899
FANCC,1.61E-10,0.601568245
FBF1,1.63E-10,0.597237459
DPY19L2,1.64E-10,0.347084565
IQCC,1.70E-10,0.60855806
NEK8,1.78E-10,0.651101697
RBM33,1.81E-10,0.611378649
C7orf28A,1.87E-10,0.617735397
GIPR,1.89E-10,0.30597944
TNRC6B,1.89E-10,0.651396601
TNFRSF6B,1.90E-10,0.275959363
SMG6,1.92E-10,0.711457316
CCDC74B,1.97E-10,0.369257158
AXIN2,1.97E-10,0.479197998
DOC2A,1.99E-10,0.138468374
PLCH1,2.02E-10,0.47999548
ELF3,2.07E-10,0.486823583
STMN3,2.13E-10,0.346789567
BZRAP1,2.14E-10,0.311984943
CLDN7,2.16E-10,0.270121765
GATS,2.18E-10,0.529267961
TNK1,2.22E-10,0.643996586
C17orf85,2.38E-10,0.706034895
CAPS2,2.40E-10,0.470406781
RASGEF1C,2.42E-10,0.25990917
CTSC,2.51E-10,0.488862975
SOX4,2.56E-10,0.546020111
REM2,2.67E-10,0.447008432
TMEM43,2.79E-10,0.598112219
FAIM,2.80E-10,0.473947324
TBX6,2.89E-10,0.443590879
WDR5B,2.92E-10,0.675122948
ZNF655,2.93E-10,0.653800085
IFT80,2.96E-10,0.605853593
C7orf49,3.13E-10,0.690966626
CDK10,3.21E-10,0.551514914
TEKT3,3.21E-10,0.34871123
ZNF137,3.24E-10,0.541976753
C12orf63,3.29E-10,0.362213016
PSORS1C2,3.29E-10,0.311475358
LOC221442,3.40E-10,0.292094419
ZNF498,3.42E-10,0.699798476
ZNF321,3.55E-10,0.464518093
HIP1R,3.56E-10,0.659256355
IQCG,3.66E-10,0.642500299
FLJ45340,3.72E-10,0.467408353
MOSPD3,3.76E-10,0.630393077
GPCPD1,3.85E-10,0.594874374
PTRF,3.95E-10,0.533402517
TEAD2,4.04E-10,0.527063949
ST7OT1,4.05E-10,0.470157808
RABL5,4.07E-10,0.70226287
IGFBP6,4.25E-10,0.278944932
TMEM98,4.26E-10,0.408758971
HPCA,4.37E-10,0.315323425
C20orf118,4.39E-10,0.458345445
SENP3,4.42E-10,0.746629873
RAD51AP2,4.47E-10,0.388784228
ATP8A1,4.55E-10,0.467036554
C19orf33,4.63E-10,0.199018832
BIVM,4.70E-10,0.598164457
PRPF40B,4.71E-10,0.624717545
PCSK4,4.76E-10,0.500746511
GPC4,4.86E-10,0.544542026
BIN1,4.90E-10,0.47578116
NCRNA00173,5.11E-10,0.27647693
C8orf31,5.16E-10,0.370756131
CCNL2,5.21E-10,0.451357829
MAK,5.25E-10,0.410301051
FLJ37453,5.59E-10,0.595863226
IDUA,5.59E-10,0.503329537
KCTD16,5.61E-10,0.236089864
DDX31,5.89E-10,0.697108962
RBMS2,6.05E-10,0.729367005
HDC,6.15E-10,0.254065442
CCDC11,6.17E-10,0.554077809
CAMKV,6.28E-10,0.314373584
EFCAB4A,6.37E-10,0.363731557
HRH1,6.42E-10,0.412979642
NSUN5P2,6.63E-10,0.383315951
SMCR7,6.71E-10,0.691693859
C11orf61,6.72E-10,0.525506747
CD200,6.81E-10,0.403077543
CASC2,7.05E-10,0.616435161
DNAJB13,7.20E-10,0.21201353
SYT12,7.64E-10,0.239304153
CHKB-CPT1B,7.74E-10,0.364575494
LOC100240726,7.85E-10,0.417496083
FASTK,7.91E-10,0.610322364
C4orf46,8.09E-10,0.669583884
CDRT4,8.13E-10,0.585406421
FBXO24,8.30E-10,0.491988109
C16orf48,8.33E-10,0.519161339
KLRA1,8.49E-10,0.353130884
C22orf36,8.52E-10,0.333967759
NUDCD3,8.62E-10,0.749314442
LOC202781,8.69E-10,0.614153109
FAM185A,8.76E-10,0.723559579
C8orf79,9.25E-10,0.424835784
SPPL2B,9.37E-10,0.646552879
DNAH6,9.44E-10,0.410667088
FAM109A,9.51E-10,0.549626101
C20orf96,9.78E-10,0.634144627
UBQLNL,1.00E-09,0.492906888
RILPL1,1.01E-09,0.69837915
DFNB31,1.01E-09,0.630943655
HCG11,1.01E-09,0.521218933
BEST4,1.02E-09,0.409213911
KIAA0895,1.03E-09,0.595189148
CCDC148,1.06E-09,0.526514607
STAG3L1,1.07E-09,0.433327814
B3GALT5,1.07E-09,0.266905753
AGAP4,1.08E-09,0.446041919
MYH3,1.11E-09,0.381097569
TMEM169,1.12E-09,0.45920248
GOLGA6L9,1.13E-09,0.401061414
ENTPD2,1.14E-09,0.302621103
MSLN,1.16E-09,0.119234208
ID4,1.17E-09,0.346455385
KLF8,1.17E-09,0.460463863
ATP13A4,1.23E-09,0.324589797
CCDC14,1.26E-09,0.487951961
DNAH2,1.27E-09,0.269854038
CDK5RAP3,1.28E-09,0.567916085
C7orf43,1.28E-09,0.654610349
BAMBI,1.29E-09,0.439939901
C7orf31,1.29E-09,0.502957216
ATP8A2,1.35E-09,0.369219587
RNF207,1.36E-09,0.450497818
ABCG8,1.38E-09,0.267449547
SPATA12,1.39E-09,0.387677916
WDR27,1.40E-09,0.457189047
KRT19,1.41E-09,0.170108917
CTSL3,1.45E-09,0.333094809
PLCD3,1.53E-09,0.41375225
N4BP2L1,1.54E-09,0.527074758
TSLP,1.58E-09,0.234992256
ZNF23,1.59E-09,0.576476852
C6orf147,1.61E-09,0.398932976
EVPLL,1.70E-09,0.248933528
CNTN4,1.76E-09,0.363633842
B4GALNT2,1.79E-09,0.16126192
POU5F1,1.82E-09,0.337421461
SH2B1,1.82E-09,0.657685468
LOC100216545,1.83E-09,0.4907138
ATG16L2,1.87E-09,0.481040045
PLA2G6,1.91E-09,0.470339831
C16orf79,1.96E-09,0.370019383
C9orf44,1.97E-09,0.341745956
DNAH1,1.98E-09,0.457307571
CACNB2,2.00E-09,0.336443307
HOTAIR,2.00E-09,0.363068469
SDC4,2.03E-09,0.642630139
PPM1E,2.08E-09,0.325616735
GCM1,2.12E-09,0.256886818
TNFRSF19,2.16E-09,0.471732382
SOX9,2.17E-09,0.396780723
CDHR1,2.25E-09,0.166023116
WNT2,2.30E-09,0.229926584
KIAA1609,2.34E-09,0.615214253
LOC283070,2.38E-09,0.480156595
IL12RB2,2.50E-09,0.162310483
FAM116B,2.52E-09,0.573463274
MESTIT1,2.53E-09,0.343301334
CITED4,2.53E-09,0.37119714
IRAK4,2.54E-09,0.735870595
CAMTA2,2.55E-09,0.707195289
AGR3,2.58E-09,0.167912157
C1orf87,2.65E-09,0.256093688
RBPMS,2.65E-09,0.675547875
C20orf132,2.71E-09,0.579868737
LOC100129637,2.74E-09,0.57184593
CORO6,2.74E-09,0.251746854
C11orf93,2.78E-09,0.41731722
ZMAT1,2.86E-09,0.423869457
NEK11,2.89E-09,0.610118323
LCAT,2.92E-09,0.462289961
LRRC46,2.97E-09,0.464991623
HOXC11,2.99E-09,0.364953696
AFG3L1,3.01E-09,0.549857846
TNFAIP1,3.08E-09,0.746041177
MAMLD1,3.20E-09,0.565018508
TCTN1,3.27E-09,0.694986296
ZNF815,3.40E-09,0.64880479
TAS2R14,3.41E-09,0.488200983
ARPP21,3.50E-09,0.253058942
FAM189A1,3.54E-09,0.323936428
ZNF497,3.55E-09,0.616775041
MEIS3P1,3.67E-09,0.590028638
WFDC2,3.68E-09,0.310483555
NEURL4,3.73E-09,0.713392824
DDR1,3.78E-09,0.637643297
TAX1BP3,3.82E-09,0.642930201
C6orf26,3.83E-09,0.447268597
NSUN6,3.85E-09,0.624616021
NOM1,3.86E-09,0.732233552
PRR15L,3.89E-09,0.293263356
HS3ST1,3.90E-09,0.39495292
EFNB2,3.90E-09,0.437286502
MLXIPL,4.00E-09,0.282140656
CHL1,4.05E-09,0.296615312
C16orf55,4.05E-09,0.633465843
C2orf67,4.06E-09,0.633998221
WASH7P,4.18E-09,0.547849054
PRKRIP1,4.21E-09,0.611143471
LRIT2,4.22E-09,0.300354671
PL-5283,4.25E-09,0.746908858
ARRDC4,4.25E-09,0.536840993
SLAIN1,4.29E-09,0.720071208
ZNF767,4.31E-09,0.471972732
PPIL6,4.35E-09,0.619147932
DALRD3,4.35E-09,0.714563296
KCNJ4,4.37E-09,0.298119503
LOC100128288,4.43E-09,0.451270547
LBX2,4.47E-09,0.346704561
NELF,4.57E-09,0.579488515
NDEL1,4.70E-09,0.7601098
ZNF19,4.71E-09,0.664192163
LPAR6,4.76E-09,0.493427277
TCTEX1D4,4.88E-09,0.492435354
LOC723809,5.08E-09,0.262362621
OR2A9P,5.09E-09,0.607016582
ZNF599,5.37E-09,0.650515709
GOLGA6L10,5.42E-09,0.435237388
LY6G5B,5.44E-09,0.403400672
SUGT1P1,5.54E-09,0.526714637
TSGA14,5.57E-09,0.592104645
WSCD1,5.64E-09,0.55585425
TTLL2,5.65E-09,0.308513229
TIA1,5.65E-09,0.541616172
CDK3,5.66E-09,0.462788022
PMS2,5.84E-09,0.74968352
CDH9,5.85E-09,0.229082009
HOXC4,5.89E-09,0.519511032
RTDR1,5.96E-09,0.493808572
CYB5D1,5.99E-09,0.706305629
EGFL8,6.01E-09,0.345493741
TAS2R4,6.07E-09,0.479788654
RBAK,6.22E-09,0.675181722
LOC388242,6.37E-09,0.393769132
FZD1,6.39E-09,0.48305137
ZNF12,6.52E-09,0.706893369
NAPEPLD,6.59E-09,0.631792547
SERINC4,6.63E-09,0.490594119
GNB2,6.71E-09,0.729803341
PCDP1,6.80E-09,0.573670114
SP1,6.90E-09,0.712463094
9-Mar,7.00E-09,0.628223587
SETD8,7.06E-09,0.743206272
LOC100130987,7.16E-09,0.60720962
WDR19,7.16E-09,0.7218345
C6orf174,7.21E-09,0.302479212
CYP21A2,7.32E-09,0.34394457
WDR90,7.43E-09,0.572818971
RPAIN,7.53E-09,0.699681246
DHX58,7.54E-09,0.673037046
FGFBP1,7.82E-09,0.254794557
TNFSF12,7.86E-09,0.59551924
LHB,8.23E-09,0.380324169
LRRC43,8.39E-09,0.364553322
PDAP1,8.55E-09,0.743869323
IQCH,8.58E-09,0.606432731
CG030,8.59E-09,0.429737063
TMEM145,8.62E-09,0.380995676
GPR172B,8.70E-09,0.244292186
PPFIBP1,8.72E-09,0.621616848
NSUN5P1,9.33E-09,0.415141361
FAM35B,9.45E-09,0.640397736
SPHK1,9.47E-09,0.319496411
CHST14,9.48E-09,0.677349356
WDR93,9.57E-09,0.437461392
C1orf63,9.60E-09,0.483631419
ATXN7L2,9.71E-09,0.490600948
TSEN2,9.87E-09,0.731614748
AGK,1.00E-08,0.740400868
TDRD6,1.03E-08,0.427568857
WDR6,1.07E-08,0.7415964
TCEA2,1.07E-08,0.638840376
LAMB1,1.08E-08,0.548318775
RDH5,1.09E-08,0.348614807
IQCA1,1.13E-08,0.36238213
ZC3H6,1.15E-08,0.684716566
C8orf73,1.15E-08,0.452239772
GOLGA6L5,1.16E-08,0.440766231
ZNF775,1.19E-08,0.58923991
C14orf105,1.21E-08,0.587487656
TINAGL1,1.23E-08,0.577822478
PMS2L11,1.24E-08,0.550884703
C6orf41,1.28E-08,0.452262414
SPDYE5,1.33E-08,0.491298412
KCNH7,1.35E-08,0.428069405
HEXDC,1.35E-08,0.583893471
RGL2,1.45E-08,0.724000381
LUC7L2,1.50E-08,0.774948919
WRAP53,1.56E-08,0.674822792
CADM4,1.57E-08,0.530195757
REPIN1,1.58E-08,0.74170289
RABL2A,1.64E-08,0.690676354
C14orf79,1.66E-08,0.63608709
GORASP1,1.78E-08,0.799633058
STK38,1.80E-08,0.72065786
CYTH2,1.83E-08,0.754398292
LOC441204,1.89E-08,0.566488487
PASK,1.91E-08,0.662837813
RTEL1,1.94E-08,0.624895504
LOC100131691,1.94E-08,0.575044745
TXNIP,1.99E-08,0.614309329
AGAP6,2.03E-08,0.456995095
CELF5,2.06E-08,0.247861588
SFRS4,2.07E-08,0.789904299
C2orf50,2.08E-08,0.487108804
ARIH2,2.10E-08,0.768676633
AXL,2.13E-08,0.536853406
LUC7L3,2.19E-08,0.559964446
C2orf77,2.21E-08,0.640549191
SCN11A,2.21E-08,0.481697086
ODZ1,2.23E-08,0.352453141
ZBED4,2.28E-08,0.743096955
REP15,2.29E-08,0.56460262
POM121L10P,2.39E-08,0.409392241
PLD2,2.42E-08,0.651176143
DFNB59,2.43E-08,0.462905283
ZBTB34,2.46E-08,0.750106176
LOC286367,2.47E-08,0.481574859
IFT140,2.48E-08,0.714696507
MMP19,2.50E-08,0.524639428
PLEKHA4,2.52E-08,0.537370027
EFEMP2,2.56E-08,0.476672144
A4GNT,2.56E-08,0.383484291
ODF3B,2.57E-08,0.386928563
MED11,2.59E-08,0.688913473
PCDH20,2.60E-08,0.250909583
KITLG,2.60E-08,0.331546744
LIPC,2.61E-08,0.295799686
VAMP1,2.64E-08,0.552883883
USP42,2.71E-08,0.751572877
HESX1,2.72E-08,0.616216632
CAMK2B,2.75E-08,0.248180543
LOC619207,2.76E-08,0.411041908
GALNT4,2.78E-08,0.675210961
GNRH1,2.79E-08,0.366702942
LOC220930,2.82E-08,0.600866732
ARHGEF16,2.82E-08,0.451134019
AMACR,2.84E-08,0.383809119
GREB1L,2.89E-08,0.278426794
CPT1B,2.92E-08,0.425249704
FLOT2,2.93E-08,0.683146333
SLC2A13,2.98E-08,0.580970988
SSH3,3.04E-08,0.682865578
DMRTC1B,3.10E-08,0.373794753
C22orf43,3.12E-08,0.421419301
GABBR1,3.15E-08,0.369104898
NOD1,3.25E-08,0.685827839
FLJ10038,3.31E-08,0.664148129
TUBB3,3.32E-08,0.329863206
DCAKD,3.32E-08,0.749284461
ZNF287,3.39E-08,0.662684623
TRIM55,3.41E-08,0.429374453
GLT8D1,3.45E-08,0.775191936
MIDN,3.45E-08,0.627310241
PABPC4L,3.46E-08,0.434012767
CFB,3.49E-08,0.46543547
FSTL1,3.51E-08,0.556730226
RALGPS1,3.56E-08,0.610683925
POU5F1B,3.65E-08,0.476320292
TRPC1,3.76E-08,0.634354619
IQUB,3.78E-08,0.521100177
SLFNL1,3.79E-08,0.381811259
ZNF320,3.81E-08,0.523338819
ZNF621,3.86E-08,0.662390223
AGAP5,3.94E-08,0.567967709
CROCCL1,3.94E-08,0.613367708
LPIN3,3.96E-08,0.609479501
HMGB3,4.03E-08,0.598661404
AMY2B,4.20E-08,0.38326113
MASP2,4.22E-08,0.469677669
DPY19L2P1,4.26E-08,0.380574191
ZNF84,4.26E-08,0.667189496
RARA,4.27E-08,0.657864637
LOC541473,4.29E-08,0.436600049
